mode,num_step,concurrency,requests_ok,requests_err,wall_s,rps,audio_total_s,throughput_audio_per_wall,ttfb_ms_p50,ttfb_ms_p95,ttfb_ms_p99,sm_pct_mean,sm_pct_p95,vram_mb_max,err_rate
naive,8,1,8,0,1.334,5.998,21.46,16.091,177.2,187.2,187.2,36.0,55.6,3494,0.0
naive,8,2,12,0,1.793,6.694,32.96,18.386,287.2,322.6,323.0,36.0,54.8,3494,0.0
naive,8,3,18,0,2.637,6.827,51.34,19.472,431.9,466.3,473.7,40.8,55.7,3494,0.0
naive,8,4,24,0,3.547,6.766,69.26,19.525,576.5,618.2,645.0,40.2,56.6,3494,0.0
naive,8,5,30,0,4.328,6.932,86.35,19.953,719.8,724.9,725.8,45.8,56.0,3494,0.0
naive,8,6,36,0,5.222,6.894,102.97,19.717,864.1,896.1,896.9,45.7,56.0,3494,0.0
naive,8,7,42,0,6.08,6.908,121.76,20.027,1007.2,1041.0,1042.7,47.3,57.0,3494,0.0
naive,8,8,48,0,6.953,6.904,142.03,20.428,1151.6,1154.3,1187.3,49.0,60.2,3494,0.0
naive,8,9,54,0,7.787,6.934,160.06,20.554,1289.6,1324.7,1325.9,49.1,57.0,3494,0.0
naive,8,10,60,0,8.645,6.94,180.07,20.829,1438.2,1446.5,1446.9,50.0,57.6,3494,0.0
naive,8,11,66,0,9.55,6.911,197.03,20.632,1585.0,1615.3,1618.4,49.9,57.5,3494,0.0
naive,8,12,72,0,10.385,6.933,215.01,20.703,1724.6,1732.9,1749.7,51.0,57.0,3494,0.0
naive,8,13,78,0,11.417,6.832,235.19,20.6,1891.4,1931.6,1933.2,51.6,59.8,3494,0.0
naive,8,14,84,0,12.183,6.895,253.66,20.821,2031.1,2038.6,2042.1,51.6,58.6,3494,0.0
naive,8,15,90,0,13.066,6.888,270.68,20.716,2169.2,2196.1,2198.5,52.7,61.4,3494,0.0
naive,8,16,96,0,13.88,6.917,288.83,20.81,2308.8,2326.9,2330.3,52.1,57.9,3494,0.0
naive,8,17,102,0,14.694,6.942,306.15,20.835,2445.4,2460.6,2462.9,53.9,60.5,3494,0.0
naive,8,18,108,0,15.652,6.9,325.15,20.773,2596.2,2660.9,2664.9,53.1,62.0,3494,0.0
naive,8,19,114,0,16.601,6.867,342.4,20.625,2758.5,2776.6,2778.7,52.9,61.2,3494,0.0
naive,8,20,120,0,17.397,6.898,361.32,20.769,2894.0,2924.3,2929.5,53.8,60.2,3494,0.0
batched8,8,1,8,0,1.517,5.272,21.25,14.005,199.1,208.0,208.0,17.0,28.3,3494,0.0
batched8,8,2,12,0,1.158,10.359,32.71,28.237,188.4,208.0,208.5,28.0,53.2,3570,0.0
batched8,8,3,18,0,1.203,14.96,51.36,42.687,194.1,224.1,224.6,38.3,58.7,3722,0.0
batched8,8,4,24,0,1.386,17.31,69.51,50.135,224.6,279.3,279.9,49.0,94.7,4030,0.0
batched8,8,5,30,0,1.553,19.323,86.8,55.907,257.5,263.3,263.7,51.7,94.7,4410,0.0
batched8,8,6,36,0,1.795,20.059,103.12,57.459,294.2,317.7,319.1,48.0,92.8,4872,0.0
batched8,8,7,42,0,2.049,20.497,121.17,59.134,335.8,365.5,366.5,48.7,94.6,5408,0.0
batched8,8,8,48,0,2.366,20.289,141.97,60.008,367.6,508.1,508.6,49.5,74.5,6000,0.0
batched8,8,9,54,0,2.527,21.368,159.54,63.131,360.2,714.8,717.3,63.8,100.0,6324,0.0
batched8,8,10,60,0,2.798,21.443,179.04,63.986,362.8,748.8,751.5,61.8,99.8,6656,0.0
batched8,8,11,66,0,3.165,20.852,197.3,62.336,382.6,766.6,784.0,64.0,100.0,6656,0.0
batched8,8,12,72,0,3.321,21.683,214.28,64.532,390.6,753.4,771.3,60.0,100.0,6656,0.0
batched8,8,13,78,0,3.628,21.498,235.1,64.797,712.4,762.8,764.6,61.0,100.0,6656,0.0
batched8,8,14,84,0,3.923,21.41,253.33,64.568,715.2,761.0,761.5,60.4,100.0,6656,0.0
batched8,8,15,90,0,4.233,21.261,270.29,63.852,712.6,759.6,760.4,68.5,100.0,6656,0.0
batched8,8,16,96,0,4.412,21.757,288.6,65.406,732.2,757.1,758.9,65.8,100.0,6656,0.0
batched8,8,17,102,0,4.713,21.644,305.59,64.845,732.3,1102.4,1118.7,67.7,100.0,6656,0.0
batched8,8,18,108,0,4.991,21.64,324.64,65.05,737.2,1111.1,1130.8,66.5,100.0,6656,0.0
batched8,8,19,114,0,5.309,21.471,343.35,64.668,738.2,1115.0,1135.3,71.4,100.0,6656,0.0
batched8,8,20,120,0,5.504,21.803,361.44,65.671,757.6,1127.2,1133.1,71.7,100.0,6656,0.0
batched16,8,1,8,0,1.514,5.284,21.42,14.149,198.2,207.3,207.3,29.0,45.5,3494,0.0
batched16,8,2,12,0,1.155,10.387,32.9,28.476,189.9,207.0,207.0,24.5,46.6,3570,0.0
batched16,8,3,18,0,1.2,15.003,51.19,42.668,193.9,228.2,228.7,43.7,67.7,3722,0.0
batched16,8,4,24,0,1.385,17.328,69.43,50.129,224.0,278.7,279.7,30.3,50.7,4030,0.0
batched16,8,5,30,0,1.547,19.389,86.58,55.957,256.8,262.4,262.6,52.0,95.6,4410,0.0
batched16,8,6,36,0,1.79,20.107,102.89,57.467,292.9,317.2,318.5,40.0,64.0,4872,0.0
batched16,8,7,42,0,2.04,20.587,122.05,59.825,332.2,363.1,364.3,38.0,62.6,5408,0.0
batched16,8,8,48,0,2.424,19.804,142.34,58.728,378.2,522.4,523.0,44.2,91.7,6000,0.0
batched16,8,9,54,0,2.552,21.158,159.86,62.634,414.1,475.7,476.9,55.2,97.4,7060,0.0
batched16,8,10,60,0,2.829,21.208,179.05,63.289,460.4,494.8,495.2,35.2,64.1,8232,0.0
batched16,8,11,66,0,3.089,21.363,195.72,63.352,498.6,558.2,559.7,24.0,35.9,9528,0.0
batched16,8,12,72,0,3.312,21.739,215.23,64.984,536.9,578.0,579.8,71.2,100.0,10968,0.0
batched16,8,13,78,0,3.611,21.599,235.41,65.188,582.2,623.6,624.9,61.8,100.0,12004,0.0
batched16,8,14,84,0,3.88,21.648,254.58,65.609,657.4,670.8,673.0,65.4,100.0,13124,0.0
batched16,8,15,90,0,4.145,21.712,270.77,65.322,663.3,1132.1,1136.3,56.8,98.6,13744,0.0
batched16,8,16,96,0,4.51,21.284,287.96,63.843,697.7,1154.9,1271.3,74.7,100.0,14404,0.0
batched16,8,17,102,0,4.712,21.645,306.29,64.995,746.2,1024.7,1031.7,53.2,82.0,14404,0.0
batched16,8,18,108,0,4.983,21.673,325.17,65.255,966.8,1036.6,1039.4,56.7,81.8,14404,0.0
batched16,8,19,114,0,5.236,21.774,342.45,65.409,1022.3,1061.2,1073.0,67.1,100.0,14404,0.0
