mode,num_step,concurrency,requests_ok,requests_err,wall_s,rps,audio_total_s,throughput_audio_per_wall,ttfb_ms_p50,ttfb_ms_p95,ttfb_ms_p99,sm_pct_mean,sm_pct_p95,vram_mb_max,err_rate
naive,8,1,8,0,1.489,5.374,20.92,14.053,254.8,284.9,284.9,2.0,5.4,3512,0.0
naive,8,2,12,0,0.956,12.552,32.02,33.493,63.5,373.9,377.4,0.0,0.0,3502,0.0
naive,8,3,18,0,1.106,16.269,49.27,44.533,92.5,402.4,629.9,25.0,47.5,3500,0.0
naive,8,4,24,0,1.595,15.049,68.37,42.87,126.3,694.8,960.6,37.5,71.2,3530,0.0
naive,8,5,30,0,0.95,31.575,84.87,89.326,156.0,163.4,163.8,35.5,67.4,3554,0.0
naive,8,6,36,0,1.446,24.889,101.12,69.909,187.7,500.7,504.6,38.0,72.2,3554,0.0
naive,8,7,42,0,1.648,25.478,119.11,72.255,221.3,537.4,540.1,36.0,68.4,3564,0.0
naive,8,8,48,0,1.847,25.985,138.23,74.832,252.6,260.7,576.0,44.0,73.2,3568,0.0
naive,8,9,54,0,1.751,30.838,155.15,88.603,284.3,322.8,325.0,49.7,74.9,3554,0.0
naive,8,10,60,0,1.92,31.242,174.89,91.065,317.5,327.5,329.1,49.3,74.8,3554,0.0
naive,8,11,66,0,2.43,27.165,190.48,78.401,349.8,670.2,671.4,49.3,74.0,3554,0.0
naive,8,12,72,0,2.313,31.13,208.96,90.345,383.1,396.6,399.0,49.0,74.7,3564,0.0
naive,8,13,78,0,2.503,31.16,229.02,91.491,414.2,425.6,428.1,49.3,74.8,3564,0.0
naive,8,14,84,0,2.699,31.127,247.1,91.564,446.4,457.8,461.7,49.7,74.9,3564,0.0
naive,8,15,90,0,2.886,31.183,262.31,90.886,480.1,491.1,492.8,61.8,75.0,3564,0.0
naive,8,16,96,0,3.076,31.214,279.24,90.793,511.9,524.6,526.1,55.0,73.8,3564,0.0
naive,8,17,102,0,3.266,31.233,296.6,90.82,541.0,556.9,557.9,56.2,75.0,3564,0.0
naive,8,18,108,0,3.459,31.219,316.35,91.446,572.4,588.7,589.3,56.5,75.8,3564,0.0
